66,121.48,140.29,176.77,259.10,429.97,438.57,447.35,456.31,465.45,187.93
67,121.99,143.10,177.22,259.61,430.44,439.05,447.84,456.81,465.95,189.09
68,122.48,144.25,182.15,260.12,430.91,439.53,448.33,457.30,466.45,192.10
69,122.98,147.45,182.65,261.26,432.38,441.03,449.86,458.87,468.05,195.12
70,123.47,160.71,189.04,283.41,455.08,469.60,479.00,488.58,498.36,197.27
71,130.97,162.88,189.69,285.64,457.36,474.28,483.79,493.47,503.35,200.01
72,131.73,163.37,190.18,286.14,465.14,474.77,484.27,493.96,503.85,202.14
73,132.18,163.88,191.10,290.85,465.93,475.25,484.76,494.46,504.36,205.89
74,132.63,164.37,191.59,291.36,466.58,475.92,485.44,495.15,505.06,208.05
75,133.53,165.37,192.58,297.23,479.49,489.09,498.88,508.87,519.05,210.58
76,136.08,166.35,193.58,299.37,486.99,496.73,506.67,516.81,527.16,216.93
77,137.07,167.35,197.53,300.40,501.88,512.03,522.28,532.73,543.40,219.49
78,138.06,168.34,201.33,314.80,503.38,521.20,559.46,570.65,582.08,222.41
79,139.07,169.33,202.32,316.25,506.07,552.14,563.19,574.46,585.96,225.57
80,140.06,170.33,203.31,317.28,533.61,555.95,567.08,578.43,590.01,232.53
81,144.91,171.23,204.30,318.30,536.37,556.91,568.05,579.42,591.02,233.51
82,146.32,172.12,205.30,319.32,537.39,557.87,569.03,580.43,592.04,234.51
83,148.29,174.82,206.29,320.36,545.87,558.83,570.01,581.42,593.06,235.80
84,149.28,175.82,209.36,321.38,551.72,568.26,579.63,591.23,603.09,238.42
85,156.17,179.82,220.08,334.51,552.74,569.22,580.62,592.24,604.49,256.29
86,157.18,185.37,221.17,335.83,553.74,570.12,581.53,593.51,605.39,258.09
87,158.17,186.35,222.15,336.86,554.75,573.96,585.45,597.17,609.12,259.09
88,159.16,187.36,223.14,337.89,555.77,578.41,589.99,601.79,613.83,267.73
89,160.15,188.35,224.13,338.90,562.63,579.36,590.96,602.79,614.86,268.72
90,161.15,189.33,225.13,339.94,568.46,580.34,591.95,603.80,615.88,270.69
91,162.14,190.33,226.11,340.96,569.47,581.30,592.93,604.80,616.90,271.68
92,163.13,191.32,227.10,341.98,570.49,582.26,593.92,605.80,617.92,275.96
93,164.13,192.31,228.10,343.01,571.49,583.21,594.88,606.79,618.93,276.95
