236.80,348.05,601.64,660.24,673.80,748.47,763.79,879.45
237.76,353.47,603.80,661.71,675.57,751.39,767.63,880.35
245.60,355.20,629.38,691.10,710.73,809.70,844.39,881.26
249.01,356.00,649.76,695.24,719.83,841.56,860.16,893.56
250.01,356.80,651.80,696.15,720.75,844.75,861.76,894.80
253.60,357.60,652.60,697.06,721.67,845.67,862.77,895.71
254.40,358.40,653.40,697.97,722.57,846.58,863.79,896.63
255.20,359.20,654.20,698.89,723.48,847.81,864.82,897.53
256.00,360.00,655.00,700.95,724.43,848.73,865.85,898.44
256.80,360.80,655.80,708.85,729.92,849.64,866.76,901.42
257.60,361.60,656.60,714.83,737.38,850.53,867.90,944.91
258.40,362.40,657.40,716.85,753.27,852.56,869.95,949.36
259.20,363.20,658.20,752.48,776.66,893.04,910.92,964.42
260.00,364.00,659.00,763.00,779.00,942.00,983.00,"1,034.00"
262.60,367.64,665.59,770.63,786.79,951.42,992.83,"1,044.34"
265.20,371.28,672.18,778.26,794.58,960.84,"1,002.66","1,054.68"
267.80,374.92,678.77,785.89,802.37,970.26,"1,012.49","1,065.02"
270.40,378.56,685.36,793.52,810.16,979.68,"1,022.32","1,075.36"
273.00,382.20,691.95,801.15,817.95,989.10,"1,032.15","1,085.70"
275.60,385.84,698.54,808.78,825.74,998.52,"1,041.98","1,096.04"
278.20,389.48,705.13,816.41,833.53,"1,007.94","1,051.81","1,106.38"
280.80,393.12,711.72,824.04,841.32,"1,017.36","1,061.64","1,116.72"
283.40,396.76,718.31,831.67,849.11,"1,026.78","1,071.47","1,127.06"
286.00,400.40,724.90,839.30,856.90,"1,036.20","1,081.30","1,137.40"
288.60,404.04,731.49,846.93,864.69,"1,045.62","1,091.13","1,147.74"
291.20,407.68,738.08,854.56,872.48,"1,055.04","1,100.96","1,158.08"
293.80,411.32,744.67,862.19,880.27,"1,064.46","1,110.79","1,168.42"
296.40,414.96,751.26,869.82,888.06,"1,073.88","1,120.62","1,178.76"
299.00,418.60,757.85,877.45,895.85,"1,083.30","1,130.45","1,189.10"
301.60,422.24,764.44,885.08,903.64,"1,092.72","1,140.28","1,199.44"
304.20,425.88,771.03,892.71,911.43,"1,102.14","1,150.11","1,209.78"
306.80,429.52,777.62,900.34,919.22,"1,111.56","1,159.94","1,220.12"
309.40,433.16,784.21,907.97,927.01,"1,120.98","1,169.77","1,230.46"
