163.00,210.00,269.00,350.00,489.00,550.00,627.00
164.63,212.10,271.69,353.50,493.89,555.50,633.27
166.26,214.20,274.38,357.00,498.78,561.00,639.54
167.89,216.30,277.07,360.50,503.67,566.50,645.81
169.52,218.40,279.76,364.00,508.56,572.00,652.08
171.15,220.50,282.45,367.50,513.45,577.50,658.35
172.78,222.60,285.14,371.00,518.34,583.00,664.62
174.41,224.70,287.83,374.50,523.23,588.50,670.89
176.04,226.80,290.52,378.00,528.12,594.00,677.16
177.67,228.90,293.21,381.50,533.01,599.50,683.43
179.30,231.00,295.90,385.00,537.90,605.00,689.70
180.93,233.10,298.59,388.50,542.79,610.50,695.97
182.56,235.20,301.28,392.00,547.68,616.00,702.24
184.19,237.30,303.97,395.50,552.57,621.50,708.51
185.82,239.40,306.66,399.00,557.46,627.00,714.78
187.45,241.50,309.35,402.50,562.35,632.50,721.05
189.08,243.60,312.04,406.00,567.24,638.00,727.32
190.71,245.70,314.73,409.50,572.13,643.50,733.59
192.34,247.80,317.42,413.00,577.02,649.00,739.86
193.97,249.90,320.11,416.50,581.91,654.50,746.13
195.60,252.00,322.80,420.00,586.80,660.00,752.40
197.23,254.10,325.49,423.50,591.69,665.50,758.67
198.86,256.20,328.18,427.00,596.58,671.00,764.94
200.49,258.30,330.87,430.50,601.47,676.50,771.21
202.12,260.40,333.56,434.00,606.36,682.00,777.48
203.75,262.50,336.25,437.50,611.25,687.50,783.75
205.38,264.60,338.94,441.00,616.14,693.00,790.02
207.01,266.70,341.63,444.50,621.03,698.50,796.29
208.64,268.80,344.32,448.00,625.92,704.00,802.56
210.27,270.90,347.01,451.50,630.81,709.50,808.83
211.90,273.00,349.70,455.00,635.70,715.00,815.10
213.53,275.10,352.39,458.50,640.59,720.50,821.37
215.16,277.20,355.08,462.00,645.48,726.00,827.64
216.79,279.30,357.77,465.50,650.37,731.50,833.91
218.42,281.40,360.46,469.00,655.26,737.00,840.18
220.05,283.50,363.15,472.50,660.15,742.50,846.45
221.68,285.60,365.84,476.00,665.04,748.00,852.72
223.31,287.70,368.53,479.50,669.93,753.50,858.99
224.94,289.80,371.22,483.00,674.82,759.00,865.26
226.57,291.90,373.91,486.50,679.71,764.50,871.53
228.20,294.00,376.60,490.00,684.60,770.00,877.80
229.83,296.10,379.29,493.50,689.49,775.50,884.07
231.46,298.20,381.98,497.00,694.38,781.00,890.34
233.09,300.30,384.67,500.50,699.27,786.50,896.61
234.72,302.40,387.36,504.00,704.16,792.00,902.88
236.35,304.50,390.05,507.50,709.05,797.50,909.15
237.98,306.60,392.74,511.00,713.94,803.00,915.42
239.61,308.70,395.43,514.50,718.83,808.50,921.69
241.24,310.80,398.12,518.00,723.72,814.00,927.96
242.87,312.90,400.81,521.50,728.61,819.50,934.23
244.50,315.00,403.50,525.00,733.50,825.00,940.50
